# Daily mean air temperature (AT) at Weststation (WS) from Volume 4.1 (p453 onwards) and Qamerujuk Fjord station (FS) from Volume 4.2. (p259 onwards) and Uummannaq station (UMQ) from Volume 4.1. (p388 onwards)
# date: date [D.M.YYYY]
# AT_WS: daily mean air temperature Weststation [deg C] 
# AT_FS: daily mean air temperature Qamerujuk Fjord station [deg C]
# AT_UMQ: daily mean air temperature Uummannaq station [deg C]
# daily mean values for FS and UMQ were caluclated based on the subdaily digitalized AT (at 0800, 1400 and 2100 MEZ) accordingly to (2*AT_8+2*AT_14+5*AT_21)/9 (Volume 4.1. p 388), daily mean for WS is the digitalized daily values calculated by Wegener's expedition 
date;AT_WS;AT_FS;AT_UMQ
07.08.1930;1,1;7,7;6,7
08.08.1930;0,1;8,7;8,1
09.08.1930;0,5;9,1;8,4
10.08.1930;0,8;10,3;7
11.08.1930;0,6;12,2;9,2
12.08.1930;2,9;NaN;10,2
13.08.1930;2;NaN;7
14.08.1930;0,4;5,8;6,7
15.08.1930;-1,5;6;6,3
16.08.1930;-2,2;7,4;7,5
17.08.1930;-3;8;7,6
18.08.1930;-1,9;7,4;7,2
19.08.1930;-1,5;6;5,6
20.08.1930;-1,1;NaN;5,2
21.08.1930;-1,4;5,3;5,1
22.08.1930;-2,2;5,2;5,6
23.08.1930;-0,9;6,5;7,1
24.08.1930;-0,6;NaN;6,6
25.08.1930;-0,1;NaN;6,2
26.08.1930;-2;NaN;6,2
27.08.1930;-0,9;NaN;7,6
28.08.1930;-2,5;NaN;6,8
29.08.1930;-0,4;NaN;8,1
30.08.1930;0,5;NaN;8,7
31.08.1930;1;NaN;7,5
01.09.1930;1,4;NaN;5,6
02.09.1930;-0,9;NaN;4,2
03.09.1930;1,3;NaN;9,6
04.09.1930;3;NaN;10,9
05.09.1930;3,6;NaN;8,4
06.09.1930;2,9;NaN;7,2
07.09.1930;3,5;14,2;10,3
08.09.1930;2,1;13,4;8,4
09.09.1930;1,1;10,1;5,9
10.09.1930;-0,1;11,2;8,6
11.09.1930;-3,4;8,3;6,1
12.09.1930;-5,3;5,5;4,3
13.09.1930;-6,5;2,4;3,5
14.09.1930;-8,5;2,7;2,9
15.09.1930;-6,8;1,3;1,7
16.09.1930;-2,1;3,9;2,6
17.09.1930;-1,5;8,6;4,7
18.09.1930;-1,8;4,9;4,2
19.09.1930;-5;4,1;3,4
20.09.1930;-6,4;4,2;2,5
21.09.1930;-4,9;4,5;3,9
22.09.1930;-2;6,5;4,7
23.09.1930;-2;4,7;3,6
24.09.1930;-2,5;6,2;5,1
25.09.1930;-2,2;5,3;6,4
26.09.1930;-6,1;0,8;0,6
27.09.1930;-14,4;-2,8;-1,9
28.09.1930;;-4,7;-2,2
29.09.1930;;-2,5;-1,2
30.09.1930;-10,9;-1,9;-0,9
01.10.1930;-10,9;-4;-1,6
02.10.1930;-3,8;-2,8;-0,7
03.10.1930;-3,3;-1,1;0,1
04.10.1930;-9,7;1,1;1,2
05.10.1930;;-0,1;-0,8
06.10.1930;;2,4;2,1
07.10.1930;-3,9;3,5;3,6
08.10.1930;-8,5;-0,5;-0,7
09.10.1930;-13,5;-4,1;-2,7
10.10.1930;;-3,1;-2
11.10.1930;-8,9;1,7;0,8
12.10.1930;-6,2;1;1
13.10.1930;;-2,6;-0,7
14.10.1930;-11,3;-3,4;-1,6
15.10.1930;-18,7;-7,4;-2,4
16.10.1930;;-7,6;-3,5
17.10.1930;-17,7;-6,9;-4
18.10.1930;-18,8;-7,8;-4,6
19.10.1930;-15,7;-6,3;-5,3
20.10.1930;-5,4;-2,6;-3,5
21.10.1930;-6,6;-0,9;-2,2
22.10.1930;-8,9;0,2;-2,3
23.10.1930;-15,6;-4,8;-3,8
24.10.1930;-13,5;-2,8;-2,2
25.10.1930;-13,4;-3,6;-3,3
26.10.1930;-17,7;-7,4;-5,4
27.10.1930;-23,5;-11,7;-7,1
28.10.1930;-24;-12,6;-10,1
29.10.1930;-26,3;-15,5;-10,3
30.10.1930;-24,4;-11,8;-9,8
31.10.1930;-17,3;-6,2;-7,5
01.11.1930;-18,3;-8,9;-5,5
02.11.1930;-20;-9,6;-7,1
03.11.1930;-15,8;-3,5;-3,1
04.11.1930;-14,1;-3,3;-5
05.11.1930;-20,7;-9,9;-8,8
06.11.1930;-23,8;-13;-9
07.11.1930;-24,2;-16;-12,6
08.11.1930;-22,2;-11,5;-10,4
09.11.1930;-16,2;-7,1;-7
10.11.1930;-20,7;-10,6;-8,3
11.11.1930;-26,3;-16,1;-11,5
12.11.1930;;-13,4;-10,7
13.11.1930;;-14,8;-10,5
14.11.1930;-22,1;-9,1;-10,1
15.11.1930;-20,4;-9,5;-8,1
16.11.1930;-16,2;-4,5;-4,3
17.11.1930;-8,9;-1,4;-0,4
18.11.1930;-14,1;-3,5;-3,4
19.11.1930;;2,3;-0,9
20.11.1930;-9,3;-0,3;-0,5
21.11.1930;-10,8;-1,7;-2
22.11.1930;-13,9;-3,5;-3,6
23.11.1930;-22,3;-10,9;-8
24.11.1930;-24,2;-13,3;-9,9
25.11.1930;;-14,6;-10
26.11.1930;;-5,5;-7,3
27.11.1930;-6,5;2,6;1,3
28.11.1930;-7,7;2,3;0,3
29.11.1930;-9;-1,6;-1,9
30.11.1930;-16,8;-8,1;-6,2
01.12.1930;;-14,1;-8,9
02.12.1930;;-13,1;-9,1
03.12.1930;;-13;-9,3
04.12.1930;-21,4;-11,7;-9,6
05.12.1930;-25;-15,2;-11,6
06.12.1930;-28,4;-19,3;-13,7
07.12.1930;-29,6;NaN;-13,8
08.12.1930;-26,9;NaN;-13,5
09.12.1930;-19,6;NaN;-10,1
10.12.1930;-13,1;NaN;-6,2
11.12.1930;-14,4;NaN;-6,7
12.12.1930;-18,9;NaN;-9,7
13.12.1930;-20,9;NaN;-11,1
14.12.1930;-24,5;NaN;-10,1
15.12.1930;-19,3;-12,2;-10,5
16.12.1930;-16,9;-11,4;-8,4
17.12.1930;-13,9;-10,3;-7,3
18.12.1930;-17,7;-10,4;-6,3
19.12.1930;-19,9;-10,8;-9,1
20.12.1930;-22,1;-11,2;-9,4
21.12.1930;-22,2;-11,9;-8,9
22.12.1930;-23,6;-14,5;-10,4
23.12.1930;-19,3;-8,9;-10,2
24.12.1930;-15,7;-4,3;-5,9
25.12.1930;-13,3;-1,6;-3,6
26.12.1930;-12,8;-1,1;-4,7
27.12.1930;;-2,6;-5
28.12.1930;-12;-6,4;-6,1
29.12.1930;-16,4;-7,4;-7,1
30.12.1930;-19,2;-6,6;-7,9
31.12.1930;-16,6;-5,6;-6,3
01.01.1931;-15,2;-3,3;-5,3
02.01.1931;-15,5;-5,3;-5,1
03.01.1931;-12,8;-0,9;-3,2
04.01.1931;-8,2;3;1,4
05.01.1931;-12,7;-2,1;-3,2
06.01.1931;-13,6;-4,9;-2,4
07.01.1931;-14,8;-5,5;-6,9
08.01.1931;-15,8;-4,6;-6,2
09.01.1931;-15,6;-4,3;-5,7
10.01.1931;-16,2;-7,3;-6,5
11.01.1931;-13,1;-5,1;-5,1
12.01.1931;-13,5;-5,7;-3,5
13.01.1931;-11,4;-7,2;-5,7
14.01.1931;-17,6;-10,2;-10,8
15.01.1931;-24;-14,9;-13,7
16.01.1931;-23,6;-13,7;-12,2
17.01.1931;-23,3;-9,7;-11,5
18.01.1931;-14;NaN;-7,5
19.01.1931;-15,7;-7,1;-7,4
20.01.1931;-16,9;-7,3;-7,7
21.01.1931;-18;-7,4;-7,4
22.01.1931;-19,6;-7,8;-7,1
23.01.1931;-22;-11,5;-11
24.01.1931;-22,9;-15,5;-12,2
25.01.1931;-23,2;-13,9;-14
26.01.1931;-15,5;-3,4;-7,6
27.01.1931;-9,3;0;-1,3
28.01.1931;-12,4;-3,1;-6,2
29.01.1931;-9,9;-0,9;-1,1
30.01.1931;;-9,3;-9,7
31.01.1931;-22;-9,8;-10,3
01.02.1931;-13,6;-4,7;-8,8
02.02.1931;-10,5;-0,3;-1,6
03.02.1931;-15,7;-8,2;-5,5
04.02.1931;-20,2;-11,5;-7,3
05.02.1931;-19,7;-8,8;-8,6
06.02.1931;-23,7;-13;-10,7
07.02.1931;-28,5;-17,8;-14,8
08.02.1931;-28,6;-16,1;-15,5
09.02.1931;-25,8;-12;-13,5
10.02.1931;-23,1;-11,7;-12,6
11.02.1931;-27,8;-17,7;-16,8
12.02.1931;-29,9;-19;-17,6
13.02.1931;-27,8;-16,5;-16,1
14.02.1931;-28,8;-16;-15,9
15.02.1931;-22,2;-11,8;-11,8
16.02.1931;-23,1;-13,6;-14,1
17.02.1931;-18;-16,1;-17,3
18.02.1931;-29,2;-21,1;-23,3
19.02.1931;-30,1;-18,5;-18,4
20.02.1931;;-13,2;-11
21.02.1931;;-15,6;-17,2
22.02.1931;-30,9;-22,3;-19,7
23.02.1931;-36,2;-27,4;-23
24.02.1931;-34,1;-24,6;-24,2
25.02.1931;-28,7;-18,3;-21,2
26.02.1931;-21,9;-10,3;-13,8
27.02.1931;-14,8;-6,9;-7,9
28.02.1931;-15,7;-7,5;-8,9
01.03.1931;-18;-10,8;-10,4
02.03.1931;-28,1;-21,8;-22
03.03.1931;-33,3;-25,3;-22,4
04.03.1931;-31,7;-25,4;-22,7
05.03.1931;-27,9;NaN;-20,9
06.03.1931;-18,6;NaN;-21,8
07.03.1931;-14,8;-20,1;-18
08.03.1931;-15,5;-20,8;-17,5
09.03.1931;-9,6;-16,4;-16,8
10.03.1931;-11,6;-15,4;-14,8
11.03.1931;-18,5;-16;-15,6
12.03.1931;-23,8;-24;-19,6
13.03.1931;-22,5;NaN;-18,8
14.03.1931;-22,1;NaN;-17
15.03.1931;-22,8;NaN;-18,1
16.03.1931;-17;NaN;-8,4
17.03.1931;-19;-16;-16,8
18.03.1931;-22,9;-13,2;-14
19.03.1931;-23,8;-19,1;-22,2
20.03.1931;-29,2;-23;-25,1
21.03.1931;-29,6;-22,5;-25,1
22.03.1931;-29,2;-16,9;-21
23.03.1931;-26,1;-16;-18,4
24.03.1931;-28;-20;-22
25.03.1931;;-20,1;-20,8
26.03.1931;-13,6;-5,3;-8,4
27.03.1931;-10,8;-5,1;-8,6
28.03.1931;-21,9;-15,1;-19,4
29.03.1931;-26,7;-21,9;-21,3
30.03.1931;-25,8;-21,5;-20,5
31.03.1931;;NaN;-16,5
01.04.1931;;-15,8;-17,8
02.04.1931;-28,4;-16,2;-21
03.04.1931;-19,4;-6,1;-14,6
04.04.1931;-13,9;-12;-14,7
05.04.1931;-17,6;-16,4;-18,1
06.04.1931;-20,2;NaN;-17,6
07.04.1931;-22,8;NaN;-23
08.04.1931;-28,4;NaN;-23,2
09.04.1931;-30,9;NaN;-23,5
10.04.1931;-32;-26;-23
11.04.1931;-26,6;-16;-17,6
12.04.1931;-20,7;-16,2;-15,5
13.04.1931;-12,7;-14,6;-10,4
14.04.1931;-21;-14,1;-13,4
15.04.1931;-23,8;-16,8;-14,9
16.04.1931;-15,2;-14,3;-13,9
17.04.1931;-8,1;NaN;-4,6
18.04.1931;-4,9;NaN;1
19.04.1931;-4,5;5,3;-0,8
20.04.1931;-2,9;3,6;1,5
21.04.1931;-4,7;4,7;2,1
22.04.1931;-10;-2,2;-2,9
23.04.1931;-11,9;-2,9;-4,1
24.04.1931;-13,8;-5,4;-5,9
25.04.1931;-14,8;-8,4;-8,2
26.04.1931;-15;-7,7;-7,8
27.04.1931;-14,2;-1,5;-8,6
28.04.1931;-11;0,1;-5,2
29.04.1931;-4;5,6;1,1
30.04.1931;-2;2,9;0,1
01.05.1931;-0,5;2;0,1
02.05.1931;-2,1;NaN;-0,9
03.05.1931;-0,9;5,1;2,6
04.05.1931;-3,4;3,8;1,1
05.05.1931;-3,3;-1,6;-2,7
06.05.1931;0;7,4;0,5
07.05.1931;-1,7;1,3;-2,6
08.05.1931;-2,6;-0,6;-1,7
09.05.1931;-2,7;2,7;0,7
10.05.1931;-3,1;0,7;-0,4
11.05.1931;-4,4;-1,6;-1,8
12.05.1931;-7,9;-3,1;-4,3
13.05.1931;-12,4;-7,1;-6,3
14.05.1931;-11,8;-1,1;-4,6
15.05.1931;-7,7;2,9;0,2
16.05.1931;-6,4;2,4;-0,3
17.05.1931;-7,5;-0,2;0,3
18.05.1931;-9,2;-0,9;-1,3
19.05.1931;-9,4;-1,8;-3,4
20.05.1931;-11,7;-5,5;-5
21.05.1931;-5,8;-2,8;-3,3
22.05.1931;-2,1;-2;-1,2
23.05.1931;-2,4;-0,4;-0,1
24.05.1931;-1,6;0,9;2,7
25.05.1931;-3,4;1;0,2
26.05.1931;-3,3;-1,1;-2,7
27.05.1931;-1,9;7,4;4,7
28.05.1931;-1,3;6,2;5,3
29.05.1931;-0,9;5,7;3,6
30.05.1931;0;10,8;3,2
31.05.1931;0,8;7,4;3,5
01.06.1931;0,4;11,6;5,8
02.06.1931;0,8;11,4;7,3
03.06.1931;1,4;11,9;6
04.06.1931;-0,5;11,5;5,2
05.06.1931;-0,2;10;7,4
06.06.1931;0,4;NaN;6,7
07.06.1931;0,3;9,7;6,6
08.06.1931;-0,1;9,4;7,4
09.06.1931;0,6;12,5;9,4
10.06.1931;0,6;14,1;8,7
11.06.1931;1,5;14,3;9,6
12.06.1931;0,7;12,1;6,8
13.06.1931;0,5;7,5;7,9
14.06.1931;0,4;10,4;7,1
15.06.1931;0,4;11,4;8,4
16.06.1931;2,1;13,2;11,6
17.06.1931;1,1;13;9,5
18.06.1931;1,3;4,9;5,8
19.06.1931;1;11,8;9,1
20.06.1931;0,6;6,8;4,7
21.06.1931;-0,1;3,9;4,5
22.06.1931;-0,5;3,9;3,9
23.06.1931;-1,1;2,6;3,3
24.06.1931;-0,2;4,3;3,8
25.06.1931;-0,1;6,1;2,7
26.06.1931;-0,3;5,5;3,9
27.06.1931;0,2;7,8;6,3
28.06.1931;2,3;13,7;9
29.06.1931;1,5;14;10
30.06.1931;2,2;13,1;11,4
01.07.1931;2;13,6;10,5
02.07.1931;2,2;14,3;6,9
03.07.1931;2,2;11,9;4,6
04.07.1931;2,6;13,9;10,8
05.07.1931;3,4;15,2;11,7
06.07.1931;3,5;15;11,2
07.07.1931;3,5;13,6;8,6
08.07.1931;3,3;13;7,8
09.07.1931;1,9;8,5;10,4
10.07.1931;2,8;12,9;6,5
11.07.1931;2,3;8,9;7,1
12.07.1931;1,9;9,1;6,3
13.07.1931;1,4;11,7;13,9
14.07.1931;3;13;8,9
15.07.1931;4,7;11,4;7,5
16.07.1931;2;7,7;7,6
17.07.1931;1,9;7,4;7,7
18.07.1931;1,4;10,3;10,5
19.07.1931;2,5;11,4;12,6
20.07.1931;2,3;12,7;11,9
21.07.1931;2,5;14,4;14
22.07.1931;2,4;13,9;13
23.07.1931;2,3;13,5;11,3
24.07.1931;1,6;12;10,7
25.07.1931;2,3;12,2;10,7
26.07.1931;2,5;14,3;10,5
27.07.1931;3;14,4;11,7
28.07.1931;2,9;14,1;11
29.07.1931;2,7;11,9;9,9
30.07.1931;2,8;14,3;12,3
31.07.1931;3,4;14,4;12,5
01.08.1931;1,8;9,4;9,1
02.08.1931;2;9,1;8,9
03.08.1931;1;6,4;7,6
04.08.1931;1,5;11,7;10,6
05.08.1931;2,7;14,3;11,8
06.08.1931;3,5;13,2;10,1
07.08.1931;2,9;12,4;11,3
08.08.1931;3,3;12,3;11,6
09.08.1931;2,5;9,1;8,6
10.08.1931;1,6;NaN;8,3
11.08.1931;0,8;8;9,1
12.08.1931;2,6;11,9;10
13.08.1931;3,6;15,7;10
14.08.1931;4,2;13,5;11,3
15.08.1931;2,5;9,8;9
16.08.1931;2,7;11,6;10,5
17.08.1931;4;16,2;11,3
18.08.1931;3,3;16,4;10,9
19.08.1931;3;15,3;11,8
20.08.1931;3,4;12,1;9,2
21.08.1931;1;9,3;6,9
22.08.1931;1;10,1;8,5
23.08.1931;2,1;11,3;9
24.08.1931;0,3;8,9;7,6
25.08.1931;-1,2;5;5,6
26.08.1931;-0,8;5,4;5,6
27.08.1931;-1,6;9,3;7,9
28.08.1931;-1,5;7,3;6,9
29.08.1931;-0,5;7,5;7,6
30.08.1931;1,2;10,3;7,5
31.08.1931;4,6;11,3;11,8
01.09.1931;2,8;13,6;9
02.09.1931;2,6;15,6;9,9
03.09.1931;1,5;10,7;8,6
04.09.1931;0,8;10,8;8,3
05.09.1931;0,9;9,8;7,1
06.09.1931;1,1;11,5;8,1
07.09.1931;0,8;9,9;8,5
08.09.1931;0,4;7,5;6,2
09.09.1931;-0,1;9,5;7,8
10.09.1931;-0,9;9,6;6,5
11.09.1931;1,4;7,3;6,7
12.09.1931;2,5;9,6;6,5
13.09.1931;-4,9;4,6;5,2
14.09.1931;-5,1;3,5;4,9
15.09.1931;-3,7;7,2;5,4
16.09.1931;-0,9;5,1;5,2
17.09.1931;-2,9;3,9;4,3
18.09.1931;;2,1;3,9
19.09.1931;;4,4;2,4
20.09.1931;;6,7;5,2
21.09.1931;;5,4;4,6
22.09.1931;;4,2;3,3
23.09.1931;;NaN;4,2
24.09.1931;;;3,2
25.09.1931;;;3,7
26.09.1931;;;6,5
27.09.1931;;;4
28.09.1931;;;2
29.09.1931;;;1,2
30.09.1931;;;-3,2
